Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
4.0,Afghanistan,,,,,,,,,,,,,,,,3222.2,,,,,,,,9851.0,,,,,,2013,9851.0,,0.31
8.0,Albania,3101.66,5166.7,3311.06,3235.47,3500.49,3477.42,3341.56,3426.64,4139.06,4478.33,3507.9,4224.1,4283.95,4614.75,4939.11,4953.33,4944.38,5395.06,5530.3,5942.57,,,,,,,,,,2009,5942.57,91.59,2.0
12.0,Algeria,,,,,63705.0,,,,,,71593.26,,,,,,,,,,,,,,,,,,,2000,71593.26,,2.31
24.0,Angola,,,,,,,,,,,16317.0,,,,,27809.0,,,,,,,,,,,,,,2005,27809.0,,1.43
28.0,Antigua and Barbuda,288.14,,,,,,,,,,371.88,,,,,,,,,,,,,,,,,,,2000,371.88,29.06,4.89
32.0,Argentina,100867.5,,,,117595.97,,,125563.93,,,128323.87,,,,,,,,,,181939.49,,188265.15,,,,,,,2012,188265.15,86.65,4.51
51.0,Armenia,21615.96,,,,,,,,,,3199.57,,,,,,4173.95,,,,4456.99,,,,,,,,,2010,4456.99,-79.38,1.55
36.0,Australia,278424.66,279872.66,284912.44,289235.19,294014.96,305410.17,312361.59,320795.09,334684.52,344063.77,350195.02,357669.18,362209.55,369726.02,383205.12,386513.45,392680.65,399842.46,404417.41,407463.33,405502.8,404172.76,406506.24,397943.18,394116.89,401554.76,411031.53,415097.43,415953.95,2018,415953.95,49.4,16.71
40.0,Austria,62124.7,65725.53,60204.07,60635.42,61002.44,64065.26,67421.59,67232.78,66875.15,65562.72,66162.89,70102.6,71918.76,77554.25,77674.39,79192.43,76898.33,74262.59,73588.4,67493.95,72011.84,69898.24,67209.1,67745.69,64084.43,66283.24,67112.27,69628.86,66719.68,2018,66719.68,7.4,7.5
31.0,Azerbaijan,55893.73,51901.46,44546.68,39136.42,34272.68,36561.35,29965.84,28935.02,28567.01,27869.25,29010.24,28243.15,28031.43,30733.16,33010.79,35472.53,34310.57,29284.63,32283.34,26893.1,26411.83,28083.87,29847.75,39228.89,,,,,,2013,39228.89,-29.82,4.18
44.0,Bahamas,1894.2,,,,1866.2,,,,,,660.44,,,,,,,,,,,,,,,,,,,2000,660.44,-65.13,2.22
48.0,Bahrain,,,,,16483.0,,,,,,18170.0,,,,,,,,,,,,,,,,,,,2000,18170.0,,27.34
50.0,Bangladesh,,,,,16459.73,,,,,,,33148.52,,,,40862.34,,,,,,,,,,,,,,2005,40862.34,,0.29
52.0,Barbados,1564.22,,,,1913.38,,,2198.32,,,,,,,,,,,,,,,,,,,,,,1997,2198.32,40.54,8.2
112.0,Belarus,103689.71,96647.13,88662.01,76380.05,62367.89,57375.45,58214.8,58720.59,57372.47,54984.5,54877.36,54967.87,55077.7,56484.95,60076.47,61367.1,64157.16,63569.93,65694.82,61402.7,63156.39,62106.74,63008.35,63743.45,63083.64,58633.06,60284.85,60742.93,61871.68,2018,61871.68,-40.33,6.55
56.0,Belgium,120309.34,123382.08,122507.84,121444.2,124816.9,125956.47,129496.58,124001.76,130227.11,124718.9,126735.3,126084.68,126878.58,128275.26,128805.29,125661.69,123905.76,120496.16,120202.86,107743.37,114561.03,105046.06,102428.75,102674.4,96811.32,100981.34,99806.94,99456.28,100207.84,2018,100207.84,-16.71,8.73
84.0,Belize,,,,,598.07,,,,,,,,,3.93,,,4.71,,,5.93,,,,,,,,,,2009,5.93,,0.02
204.0,Benin,,,,,,802.34,,,,,1416.38,,,,,,,,,,,,,,,,,,,2000,1416.38,,0.21
64.0,Bhutan,,,,,228.46,,,,,,498.07,,,,,,,,,,,,,,,,,,,2000,498.07,,0.84
68.0,Bolivia (Plurinational State of),5386.19,,,,8146.25,,,,8930.9,,7782.84,,9073.28,,9786.04,,,,,,,,,,,,,,,2004,9786.04,81.69,1.08
