Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
4.0,Afghanistan,,,,,,,,,,,,,,,,19328.02,,,,,,,,43377.0,,,,,,2013,43377.0,,1.34
8.0,Albania,4341.63,6486.66,4581.28,4588.0,4906.36,4883.76,4998.58,5107.07,5830.67,6303.45,5775.17,6454.8,6471.21,6827.43,7192.71,7131.13,7183.33,7551.47,7630.94,8125.7,,,,,,,,,,2009,8125.7,87.16,2.73
12.0,Algeria,,,,,91758.0,,,,,,111022.59,,,,,,,,,,,,,,,,,,,2000,111022.59,,3.58
24.0,Angola,,,,,,,,,,,46188.93,,,,,61610.76,,,,,,,,,,,,,,2005,61610.76,,3.17
28.0,Antigua and Barbuda,388.63,,,,,,,,,,597.75,,,,,,,,,,,,,,,,,,,2000,597.75,53.81,7.86
32.0,Argentina,231057.28,,,,257522.43,,,270910.29,,,282000.76,,,,,,,,,,332498.16,,338963.35,,,,,,,2012,338963.35,46.7,8.12
51.0,Armenia,24954.83,,,,,,,,,,5525.91,,,,,,7021.64,,,,7202.17,,,,,,,,,2010,7202.17,-71.14,2.5
36.0,Australia,424998.38,426015.21,430216.38,430612.56,430653.33,439004.9,446681.85,458841.6,472629.67,478199.84,489373.84,496982.31,500807.89,502301.78,520315.18,526206.97,530787.99,536888.6,540669.0,544285.46,540571.41,542511.92,544732.76,535006.81,530411.02,538618.78,548862.55,556612.27,558047.22,2018,558047.22,31.31,22.41
40.0,Austria,78492.61,82157.14,75524.0,75771.05,76016.83,79382.99,82605.5,82175.96,81511.96,79931.07,80261.99,84151.51,85906.92,91545.24,91139.81,92427.27,90022.83,87337.77,86747.76,80163.13,84612.84,82286.89,79528.79,79971.98,76346.01,78509.78,79467.29,82023.36,78950.34,2018,78950.34,0.58,8.88
31.0,Azerbaijan,73385.78,66568.96,57604.85,50842.94,45065.06,47539.94,40316.85,39318.38,38821.97,39090.76,40624.5,40828.82,40779.79,43684.26,46259.96,49322.49,49235.65,46944.33,53779.54,48281.83,48048.28,49128.55,51803.95,57994.77,,,,,,2013,57994.77,-20.97,6.18
44.0,Bahamas,1915.2,,,,2197.2,,,,,,724.58,,,,,,,,,,,,,,,,,,,2000,724.58,-62.17,2.43
48.0,Bahrain,,,,,19598.96,,,,,,22372.8,,,,,,,,,,,,,,,,,,,2000,22372.8,,33.66
50.0,Bangladesh,,,,,45926.15,,,,,,,84906.86,,,,99442.24,,,,,,,,,,,,,,2005,99442.24,,0.72
52.0,Barbados,3276.39,,,,3750.5,,,4056.44,,,1516.0,1435.0,1544.0,1544.0,1594.0,1643.0,1673.0,1773.0,1865.0,1921.0,1979.0,,,,,,,,,2010,1979.0,-39.6,7.01
112.0,Belarus,137766.41,129185.87,118221.92,105280.61,88379.27,81851.22,83443.71,84415.87,85898.56,79655.96,79588.94,79623.44,78345.45,80496.12,85276.39,86694.06,90609.15,90175.18,93988.59,90091.83,92278.15,91896.01,92826.79,93891.18,93037.12,88445.26,90043.58,91112.5,91992.61,2018,91992.61,-33.23,9.73
