Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"N2O emissions, latest year",% change since 1990,"Emissions, pc last year"
4.0,Afghanistan,,,,,,,,,,,,,,,,5942.65,,,,,,,,19610.0,,,,,,2013,19610.0,,0.608
8.0,Albania,96.1,136.4,108.5,96.1,96.1,93.0,83.7,77.5,74.4,77.5,111.72,114.82,114.83,114.82,117.92,114.97,117.92,117.89,120.98,120.96,,,,,,,,,,2009,120.96,25.87,0.041
12.0,Algeria,,,,,9300.0,,,,,,6500.7,,,,,,,,,,,,,,,,,,,2000,6500.7,,0.209
24.0,Angola,,,,,,,,,,,13940.7,,,,,13869.4,,,,,,,,,,,,,,2005,13869.4,,0.714
28.0,Antigua and Barbuda,1.58,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,2000,83.7,5194.12,1.101
32.0,Argentina,51823.68,,,,56689.61,,,62089.62,,,67503.73,,,,,,,,,,75178.82,,73154.41,,,,,,,2012,73154.41,41.16,1.752
51.0,Armenia,169.57,,,,,,,,,,480.81,,,,,,682.93,,,,484.07,,,,,,,,,2010,484.07,185.47,0.168
36.0,Australia,53.48,52.21,51.57,53.14,54.75,52.3,56.55,59.22,60.04,61.7,64.99,66.06,67.83,63.83,69.46,69.78,69.54,64.29,65.21,66.51,66.15,68.72,69.87,65.95,67.44,65.63,65.66,71.36,67.5,2018,67.5,26.2,0.003
40.0,Austria,14.5,14.61,13.98,14.08,13.92,14.24,14.34,14.43,14.59,14.56,14.49,14.08,14.09,14.06,12.09,12.09,12.12,12.16,12.77,12.02,11.37,11.68,11.58,11.53,11.81,11.84,12.15,11.95,11.83,2018,11.83,-18.39,0.001
31.0,Azerbaijan,3772.7,1925.1,2132.8,1701.9,1429.1,1295.8,1308.2,1515.9,1729.8,2346.7,2343.6,2548.2,2700.1,2777.6,2879.9,2852.0,2873.7,3084.5,3025.6,3193.0,3137.2,3087.6,3422.4,2767.12,,,,,,2013,2767.12,-26.65,0.295
44.0,Bahamas,,,,,310.0,,,,,,38.51,,,,,,,,,,,,,,,,,,,2000,38.51,,0.129
48.0,Bahrain,,,,,40.92,,,,,,,,,,,,,,,,,,,,,,,,,1994,40.92,,0.074
50.0,Bangladesh,,,,,4458.76,,,,,,,16414.5,,,,19114.6,,,,,,,,,,,,,,2005,19114.6,,0.137
52.0,Barbados,49.6,,,,49.6,,,49.6,,,,,,,,,,,,,,,,,,,,,,1997,49.6,,0.185
112.0,Belarus,55.77,54.2,48.47,48.96,41.79,38.96,41.68,42.99,52.52,41.1,41.7,41.72,37.32,39.33,40.66,41.94,44.29,43.95,46.37,47.35,46.88,49.48,48.49,48.21,47.31,46.35,46.89,48.44,47.05,2018,47.05,-15.64,0.005
56.0,Belgium,33.8,33.36,32.43,33.35,34.71,36.33,37.8,37.05,36.67,36.69,34.27,32.94,31.76,28.75,29.38,28.55,25.18,23.42,23.4,23.73,25.46,21.39,21.16,20.63,20.74,20.25,19.34,20.06,19.14,2018,19.14,-43.39,0.002
84.0,Belize,,,,,171.12,,,,,,11637.47,,,598.3,,,620.0,,,489.8,,,,,,,,,,2009,489.8,,1.557
204.0,Benin,,,,,,530.16,,,,,2511.0,,,,,,,,,,,,,,,,,,,2000,2511.0,,0.366
64.0,Bhutan,,,,,660.3,,,,,,465.0,,,,,,,,,,,,,,,,,,,2000,465.0,,0.787
68.0,Bolivia (Plurinational State of),576.6,,,,858.7,,,,855.6,,914.5,,1225.8,,1386.91,,,,,,,,,,,,,,,2004,1386.91,140.53,0.153
70.0,Bosnia and Herzegovina,3127.9,2600.9,1596.5,747.1,852.5,936.2,1094.3,1140.8,1168.7,1261.7,1233.8,1460.1,,,,,,,,,,,,1860.0,1550.0,,,,,2014,1550.0,-50.45,0.445
72.0,Botswana,,,,,2038.56,,,,,,,,,,,,,,,,,,,,,12475.14,,,,2015,12475.14,,5.883
76.0,Brazil,103022.3,106320.7,108732.5,110961.4,114938.7,117431.1,110338.3,113915.7,119024.5,120118.8,125584.1,128228.4,134986.4,144497.2,149711.4,151890.7,153865.4,151456.7,152578.9,153654.6,160747.4,168748.5,168751.6,173308.6,177397.5,175884.7,,,,2015,175884.7,70.72,0.86
96.0,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,2010,27.6,,0.071
100.0,Bulgaria,30.72,24.05,20.31,18.34,17.83,17.27,16.81,16.0,13.19,13.74,13.98,14.25,14.02,13.46,15.48,14.93,13.34,13.47,14.25,12.93,14.56,13.4,13.65,14.98,16.53,16.9,17.99,17.93,17.58,2018,17.58,-42.77,0.002
854.0,Burkina Faso,,,,,365.8,,,,,,,,,,,,,8728.67,,,,,,,,,,,,2007,8728.67,,0.612
108.0,Burundi,,,,,,,,,909.23,,,,,,,295.92,,,,,353.8,,,,,386.0,,,,2015,386.0,,0.038
132.0,Cabo Verde,,,,,,6.23,,,,,93.0,,,,,,,,,,,,,,,,,,,2000,93.0,,0.217
116.0,Cambodia,,,,,3667.3,,,,,,2864.4,,,,,,,,,,,,,,,,,,,2000,2864.4,,0.236
120.0,Cameroon,,,,,145246.16,,,,,,16120.0,,,,,,,,,,,,,,,,,,,2000,16120.0,,1.039
